exp,wire_radius_m,frames,variant,recall_gt,recall_ren,recall_norm,disappearance_rate,tau_px,band_px
20260704_wb_r08mm_f80_enclosed,0.008,80,enclosed,0.985,0.9954,1.0105,-0.0105,2.0,2
20260704_wb_r08mm_f80_open,0.008,80,open,0.9971,0.9964,0.9993,0.0007,2.0,2
20260704_wb_r15mm_f80_enclosed,0.015,80,enclosed,0.9873,0.992,1.0048,-0.0048,2.0,2
20260704_wb_r15mm_f80_open,0.015,80,open,0.997,0.9969,0.9999,0.0001,2.0,2
20260704_wb_r30mm_f80_enclosed,0.03,80,enclosed,0.9901,0.9952,1.0052,-0.0052,2.0,2
20260704_wb_r30mm_f80_open,0.03,80,open,0.9894,0.9764,0.9868,0.0132,2.0,2
20260704_wb_r60mm_f80_enclosed,0.06,80,enclosed,0.9878,0.9911,1.0033,-0.0033,2.0,2
20260704_wb_r60mm_f80_open,0.06,80,open,0.98,0.9624,0.982,0.018,2.0,2
20260705_wb_r15mm_f20_enclosed,0.015,20,enclosed,0.9945,0.9648,0.9701,0.0299,2.0,2
20260705_wb_r15mm_f20_open,0.015,20,open,0.7096,0.7065,0.9956,0.0044,2.0,2
20260705_wb_r15mm_f40_enclosed,0.015,40,enclosed,0.9874,0.9966,1.0093,-0.0093,2.0,2
20260705_wb_r15mm_f40_open,0.015,40,open,0.9957,0.9737,0.9779,0.0221,2.0,2
