exp,wire_radius_m,frames,variant,method,run,iters,sfm_points,wire_span_pts_3cm,thin_px_share_pct,align_rmse_m,psnr_all,psnr_wire,psnr_bg,gap_db,psnr_wire_min,disappearance_rate,recall_ren_worst
20260704_wb_r08mm_f80_open,0.008,80,open,3dgs,1,7000,25655,0,1.729,0.0037,30.85,24.99,31.79,6.8,22.39,0.0007,0.987
20260704_wb_r08mm_f80_enclosed,0.008,80,enclosed,3dgs,1,7000,46475,0,1.729,0.0011,35.38,26.01,36.55,10.54,24.1,-0.0105,0.989
20260704_wb_r15mm_f80_open,0.015,80,open,3dgs,1,7000,25995,4,2.046,0.0048,31.5,23.46,32.42,8.96,17.56,0.0001,0.97
20260704_wb_r15mm_f80_enclosed,0.015,80,enclosed,3dgs,1,7000,46454,3,2.046,0.0012,35.24,25.94,36.5,10.56,24.6,-0.0048,0.975
20260704_wb_r30mm_f80_open,0.03,80,open,3dgs,1,7000,25854,2,2.716,0.0043,31.08,22.62,32.67,10.05,14.59,0.0132,0.944
20260704_wb_r30mm_f80_enclosed,0.03,80,enclosed,3dgs,1,7000,46607,0,2.716,0.0013,34.84,25.15,36.46,11.31,22.27,-0.0052,0.984
20260704_wb_r60mm_f80_open,0.06,80,open,3dgs,1,7000,25991,10,4.013,0.0045,30.68,21.98,32.72,10.74,14.47,0.018,0.915
20260704_wb_r60mm_f80_enclosed,0.06,80,enclosed,3dgs,1,7000,46605,4,4.013,0.0032,34.88,26.24,36.56,10.33,23.61,-0.0033,0.986
20260704_wb_r08mm_f80_open,0.008,80,open,mip,1,7000,25655,0,1.729,0.0037,35.56,27.22,36.6,9.38,24.85,0.001,0.988
20260704_wb_r08mm_f80_enclosed,0.008,80,enclosed,mip,1,7000,46475,0,1.729,0.0011,36.84,28.29,37.87,9.58,25.49,-0.0099,0.986
20260704_wb_r15mm_f80_open,0.015,80,open,mip,1,7000,25995,4,2.046,0.0048,35.33,26.2,36.78,10.59,23.54,0.0005,0.969
20260704_wb_r15mm_f80_enclosed,0.015,80,enclosed,mip,1,7000,46454,3,2.046,0.0012,36.75,27.82,37.91,10.09,25.24,-0.0054,0.972
20260704_wb_r30mm_f80_open,0.03,80,open,mip,1,7000,25854,2,2.716,0.0043,34.19,25.13,35.72,10.59,19.61,0.0076,0.965
20260704_wb_r30mm_f80_enclosed,0.03,80,enclosed,mip,1,7000,46607,0,2.716,0.0013,36.43,27.08,37.91,10.83,23.31,-0.0067,0.979
20260704_wb_r60mm_f80_open,0.06,80,open,mip,1,7000,25991,10,4.013,0.0045,33.64,25.89,35.33,9.44,20.26,0.0113,0.91
20260704_wb_r60mm_f80_enclosed,0.06,80,enclosed,mip,1,7000,46605,4,4.013,0.0032,36.26,27.93,37.84,9.91,24.65,-0.0047,0.988
20260704_wb_r15mm_f80_open,0.015,80,open,3dgs,2,7000,25995,4,2.046,0.0048,31.94,24.14,32.94,8.8,20.07,0.0005,0.994
20260704_wb_r15mm_f80_open,0.015,80,open,mip,2,7000,25995,4,2.046,0.0048,34.69,26.0,35.97,9.97,22.62,0.0001,0.988
