model,psnr_all,psnr_wire,psnr_bg,gap_db,psnr_wire_min,psnr_wire_md0,gap_db_md0,disappear,recall_worst,top5_share,pos_share,worst_view_err_share
output,31.5,23.46,32.42,8.96,17.56,21.26,11.02,0.0001,0.97,0.293,0.044,0.624
output_mip,35.33,26.2,36.78,10.59,23.54,23.84,12.66,0.0005,0.969,0.335,0.192,0.365
output_mip_w3,35.32,26.32,36.63,10.31,21.41,24.33,11.96,0.0006,0.993,0.35,0.086,0.326
output_mip_w10,32.63,24.99,33.85,8.86,18.81,23.23,10.21,0.0015,0.977,0.434,0.076,0.21
output_mip_w30,32.88,22.92,34.55,11.63,16.45,21.19,12.72,0.0011,0.987,0.387,0.085,0.298
output_mip_adg1,33.94,25.21,35.32,10.11,21.88,23.07,11.92,0.0009,0.99,0.337,0.092,0.239
output_mip_adg2,34.35,26.26,35.65,9.39,22.97,24.29,11.05,-0.0001,0.99,0.376,0.088,0.265
output_mip_tk1,34.44,25.83,35.77,9.94,22.07,23.65,11.85,0.0001,0.991,0.329,0.097,0.281
output_mip_tk5,34.64,25.8,35.95,10.15,21.63,23.74,11.9,0.0005,0.992,0.362,0.084,0.285
output_mip_vad,34.53,26.18,35.68,9.5,23.2,23.81,11.69,0.001,0.99,0.42,0.109,0.386
output_mip_ss2_f2x,35.35,25.74,36.72,10.98,22.17,23.45,12.98,0.0008,0.983,0.362,0.143,0.304
output_mip_ss2_f1x,33.58,24.83,34.8,9.97,18.73,22.63,11.93,0.0011,0.99,0.392,0.091,0.325
output_mip_30k,37.08,28.71,38.15,9.44,18.97,26.39,11.59,-0.0005,0.981,0.482,0.065,0.233
output_mip_30k_rerun,37.21,28.56,38.39,9.84,22.96,26.31,11.89,-0.0001,0.982,0.479,0.09,0.279
output_mip_w3_30k,36.14,29.03,37.0,7.96,24.93,26.88,9.98,-0.0001,0.989,0.464,0.098,0.288
output_mip_w3_30k_rerun,35.5,28.53,36.37,7.84,23.97,26.21,10.03,0.001,0.972,0.429,0.061,
output_mip_adg2_30k,37.27,28.66,38.43,9.77,21.72,26.59,11.66,0.0003,0.978,0.532,0.112,0.193
output_mip_30k_ks005,37.35,29.23,38.39,9.16,25.0,27.05,11.17,0.0002,0.991,0.442,0.108,
output_mip_30k_ks005_rerun,37.58,28.95,38.69,9.74,24.84,26.61,11.91,-0.0002,0.985,0.461,0.069,
output_mip_30k_ks0025,37.3,28.79,38.35,9.56,23.17,26.56,11.63,0.0001,0.995,0.504,0.07,
output_mip_30k_ks03,36.45,27.91,37.47,9.57,21.95,25.56,11.75,0.0008,0.98,0.375,0.064,
output_mip_ctr002_30k,23.0,17.35,23.36,6.01,14.29,15.31,8.04,0.2141,0.287,0.189,0.027,
output_mip_ctr02_30k,20.09,15.76,20.33,4.57,11.25,13.61,6.71,0.3369,0.069,0.283,0.079,
